id,specialty_name,registration_fee,school_fee
q1eq3UwlhokU,Holistic Education,79482,886716
dw6z264uf0ee,Multilingual Learners' Language Development and Instructional Strategies,82982,910363
jfBtFal2ZCu6,Assistive Technology for Learning Disabilities,68122,666444
8SUWZ2Lz7eHJ,Behavioral Economics in Education,23743,269354
7MSYCv5jqZiX,Emotional Support and Counseling Programs,85658,906409
HNVmfUru2ugX,Academic Advising,91495,802711
3Sd20laKscet,Essential Skills and Competencies for 21st-Century Learning,55940,507401
bbgOb6LyR10y,Competency-Based Education,49627,815547
BjnhLCwAc7yn,Gifted Learning and Education,44342,543447
Z3uFc4h9F4mu,Experiential Learning Design and Facilitation,52932,717403
LEOsmOH1esPX,Integrative Teaching Strategies,85337,811982
KESNPNPTuaDd,Field-Based Learning and Practicum Development,83367,485064
XcMgUIO4oxu6,Family and Community Engagement in Education,85282,996866
KESNPNPTuaDd,Software Engineering,83367,485064
