id,name
4vsxHximPrC7,Legal Aid for Students
VWJprBncQjDZ,Data Storage
0SBcdcHAJa1w,Student Recruitment & Retention
KbFePJR7ml2R,Legal & Compliance Services
j6CGAM6iboWX,Sustainability Reporting
tLOLeB8wnyfy,Campus Landscaping
pniuUwz3L3P4,Research Collaboration Platforms
bpfBvhHgTGcA,Visitor Accommodations
KliC8pC08pze,Employee Recruitment Events
RbZSqhF5XukE,Faculty Research Support
R9v368kAeGnE,Curriculum Development
MpQM9nDHhWRY,Building Construction & Renovation
joHfl8pZt6da,Academic Journals Subscription
6l9o6tZrxfMn,International Partnerships
VlmRCGKO5cGR,Legal & Compliance Services
w4jxlNToHPzG,Pension Contributions
NdORIlLBRnqw,Employee Wellness Programs
S649bPrrZfXc,Tuition Fees
e7i1QC8ijsLM,Curriculum Development
1pnoDqG5MyDt,Public Health & Safety Programs
zShPKKLRXfK7,Academic Mentorship Programs
gLkoiFgA6FFf,Digital Literacy Programs
VRQ07m0od9hI,Security Services
GZfoiiItQ5m2,Student Leadership Development
uybljkhUUv5X,Technology Infrastructure Upgrades
4uk95qw64WWa,Building Maintenance
X8pZ00RPIRAH,Employee Recruitment Costs
cySuWmSzm668,Faculty Research Support
p0RhtnCyrvMz,Community Service Learning
qVmz1GefXy9w,Student Advocacy & Representation
c8O0agz2u8lS,Administrative Supplies
2zT5yiYoeg2r,Grant Compliance & Reporting
UD87HP7fu5gl,University Branding & Advertising
42pU6e57FgK0,Student Dining Services
tEvWR3U25MC7,Grant Writing & Management
ODN9pKC2vC4B,Research Collaboration & Networking
vWdKuf3UbpYt,Library Resources
swnS6EoVvEB2,Disability Services
uF8ygJ27PrXZ,Athletic Programs
234gbqenPxcg,Technology Infrastructure Upgrades
AVYsKEs9bjEH,Student Recreational Programs
dc6nedSYAlGh,IT Support & Help Desk
cJ3t7fU5Mek9,Instructional Technology
LxjlyzvO7WvR,Data Analytics for Administration
UGxzSGUcpiFl,Alumni Relations
C4BFqlAgSVSe,Textbooks & Course Materials
yRfRLaPgxZgj,Virtual Learning Infrastructure
IA9GrMI4LLqP,Internet Access
BBwuRbO1LepB,Audit & Accounting Services
9Td0AMNPzETJ,Continuing Education Programs
HcPMIi0P6rGe,Student Emergency Fund
UDxwtaVqnu5N,Website Development & Maintenance
lxrL0k5Ryj0T,University Network & Connectivity
zLt6CcOp40WW,Student Research Funding
CwAltQE3SUcn,Employee Recruitment Events
bWxALoyejbIr,Employee Training & Development
nPMMH0GTP8fS,Faculty-Student Research Initiatives
1qWqJJgDyCvZ,Student Recreational Programs
NeK64fIH3w18,Cultural Programs
4f7GnTeILbDa,Faculty Research Travel Grants
Nx6dQnLyAi57,Academic Support for Underrepresented Groups
hcZqsLzxyjQ6,Mental Health Awareness Campaigns
PsCA1Rev0e9E,University Audit & Tax Services
ddUkmlWl82BB,Academic Mentorship Programs
MAgBwVittrzj,Assessment & Accreditation Costs
YRkAQQ1bsZZ2,Legal & Compliance Services
vr1TACfwqQMu,Professional Development for Staff
dAAwLm95qdAm,Research Collaboration Platforms
yr4QJfPv4BUJ,Software Licenses
vuGnlNIT4YE9,University Merchandise
QvhDD6mCT9P5,Legal & Compliance Services
0ArfjyKcMuhe,Employee Benefits
fWindhY3FG7V,Faculty Research Travel Grants
B2zT4TvbfC69,Student Emergency Fund
oC1MbYGKUab3,Grant Writing & Management
K0UUbJWee45b,Employee Training & Development
yyjcwgt20rog,Career Services
Qt09jat3Porp,Visitor Accommodations
I8YdJc4MDCDB,Alumni Relations
PkVC0MwkmyEY,Graduate Fellowships
0rzyWmxFAoYp,Work-Study Programs
RSVSKLODiHvn,Faculty Recruitment Costs
XpVurRSQO2KG,Technology Upgrades
g0rqKEH9Jt7y,University Strategic Planning
ShCaezqRL6NW,Student Housing Renovations
6MbIwoat51cK,International Student Services
8rorER13ezXE,Student Emergency Fund
vANud8Yej5B5,Admissions Marketing & Recruitment
8ADBDGzBnY7Z,University Network & Connectivity
mCvxi150vsHk,Student Recruitment & Retention
w9FPkepdpeUi,Faculty-Student Research Initiatives
FExgayh8TJPG,Research Collaboration Platforms
4wTWOaRIrlhh,University Research Ethics Compliance
rXGndatyfbSS,Faculty Research Support
bZcKRpOyYEih,Research Equipment
OkjWO8ZiSTrj,Student Travel Grants
OGu3szqBdxoQ,Campus Event Sponsorships
lk9hNPHqspSd,Student Housing Security
ZEG5jV5p3yrT,Pension Contributions
SG0tPD2FMla9,University Audit & Tax Services
gIZbgg3uSk2C,Assessment & Accreditation Costs
UlnoOT6AZrIA,Instructional Technology
Jnu8O4LuQ0i9,IT Infrastructure
MFJzcneDOhlY,Data Analytics for Administration
dwnwcGcRxTWd,Campus Accessibility Improvements
1jIUbbi5M6Jt,Faculty Office Supplies
LHWYZX3nho4J,Student Tutoring Services
4bMu5DIOOWla,Business Intelligence Tools
80E82coIgQve,Human Resources Services
y8aZgxp8w5Ah,Academic Mentorship Programs
HwWSfADE5V9t,Research Publications
CLkwjQdSMNo3,Pension Contributions
ffiFdE4aJmvD,Employee Recruitment Costs
jYetXDPHqUtr,Graduate Student Support Services
njBAOnfiOgJc,Disability Services
9uB4DW3DVfVQ,Parking Facilities
yHPBO63l3QSg,Employee Benefits
X7vs057cgmZw,Fundraising Campaigns
4ZbhALPnPr1s,Support for First-Generation Students
upKxx4UPCsiZ,Research Publications
VSmAaPDDJams,Library Resources
viK3691fbeN5,Campus Accessibility Improvements
WFZHhWybtWC8,University Research Ethics Compliance
wNkIuvYm8xYi,Faculty Incentive Programs
iQpbHQ9JLJZe,Academic Conferences
LJzkUTPo7IjX,Student Orientation Programs
vs4Zralec762,Campus Utilities
yjZmRWoLmjfD,University-Wide Surveys & Assessments
HWzewieMwGRA,Sustainability Research Projects
xs2oxszxdKer,Research Publications
XhXEjOHOw1uD,Legal & Compliance Services
D2EyAOH9TXlj,Campus Housing & Residence Halls
Q1vQTwmtOfPy,Writing & Learning Centers
FZk95TNDutOH,Faculty Salaries
GNpXwM0SmkGC,Writing & Learning Centers
UAqSJXqAogd0,International Partnerships
7cbCnD4VrWw1,Student Housing Security
tF7LkMHmH0P8,Library Digitization & Archives
XbIfJkcgmvb1,Internship Programs
MYF0cYpFCcHJ,Research Equipment
qm2XDrm75wf3,Sustainability Reporting
pxlPgeRL7qi2,Internal Communications
MMQ5PYDouXYd,Grant Writing & Management
qU2APTvvoXtf,Green Initiatives
Q6BlR53jx5sm,Career Services
r8wQSTAIxGjL,Public Health Programs
nuuJBvgMKYCG,Software Licenses
oB8ZlCGFFUXJ,Work-Study Programs
mbuaTZTKzJuN,Academic Journals Subscription
GVCLHh3EIwyQ,Student Tutoring Services
2AaJhTYW3aLu,Capital Campaign Fundraising
ogcVLCCAldNZ,Corporate Partnerships
RUJ2OgFxiBUg,Student Financial Aid
YUbw8l7KpVV4,Grant Writing & Management
Y29OHpEkYMWU,Student Disability Services
ho5bE9GDXcKX,Admissions Marketing & Recruitment
r55spG2LIWbZ,University Network & Connectivity
Onk1ObzXgAal,Academic Mentorship Programs
xUWp5biAey2V,University System Development
8DmwNky0lHVS,Building Maintenance
FNrAQN22cwY7,Research Collaboration & Networking
tvkCDykfZNQH,Academic Journals Subscription
06xtRysIQ3w8,Faculty Research Support
8TwBVXswlTwE,Technology Research & Development
HvXliGQMPUyQ,Continuing Education Programs
0g0mvAtmHGGn,Assessment & Accreditation Costs
hfz7zPJ4wMeY,Audit & Accounting Services
1J8vRsXE1Efj,Student Housing Utilities
rWzM1RGVyAOW,Campus Landscaping
IzT2EBPwhEfN,Student Housing Renovations
AkWmZznhZTxZ,Civic Engagement & Service Learning
v5Z0y4Qw8cue,Campus Art & Exhibitions
MYdtT9M5VfZk,Student Orientation Programs
om7JzxLUH0ju,Student Health Services
g7xg65LfroqM,Employee Training & Development
RP2ROMVNf1JE,Campus Art & Exhibitions
QacYmXD5jnyx,University-Sponsored Conferences
tlGeHj50lVpl,Faculty Incentive Programs
u3CxhAg39tay,International Student Support Programs
FJYyJaOZpqIt,University-Wide Surveys & Assessments
k2uahZbXhXMy,University Legal Counsel
JylcTyw9G6kh,Technology Infrastructure Upgrades
1a8OQhjQeXHv,Instructional Technology
MzwXwpuqDw9q,Alumni Relations
XDIljhM0f87y,Academic Conferences
4presvN9rzMd,Student Recreational Programs
RIuB69ZyqEZd,Student Orientation Programs
SQgiwbbhhi8K,Support for First-Generation Students
YzYBJIf7ORRE,International Partnerships
rOxCZS8zMdjR,Alumni Relations
sA0UeTh4BxZS,Mental Health Awareness Campaigns
PIbJBAxJIskL,Virtual Learning Infrastructure
kXOZZF3lKz1t,Student Campus Jobs
zK4cBD3OG90U,Retail Operations (Campus Bookstore)
rJX5ClbzO4px,Internship Programs
vhjFpWCqXbJr,Writing & Learning Centers
MkHUEjquu1Db,Pension Contributions
wm04s1y3baZr,Dormitory Maintenance
nz09lpl87TYk,"Security Technology (Cameras, Alarms)"
2xMdEEA5s1As,Student Research Funding
zifabwI4bZiG,Press & Media Relations
DGCx2dzh4Zda,Student Clubs & Organizations
FVH2IpTEPWj3,Administrative Supplies
k35MCHF0Gp7q,Sustainability Research Projects
jx1Ye6Ce0sOY,Counseling & Mental Health Services
Gby5M95Xs3F7,Career Services
5ntUkOF9ZGe6,Legal & Compliance Services
KExwQRYeXpGr,Study Abroad Programs
uIWkE8RuSyWV,Campus Safety Improvements
TNaxRkujl0WJ,Corporate Partnerships
qLTp4BFXgKpz,IT Support & Help Desk
QBzwEs87Ivrr,Student Emergency Fund
WcTA91ycbHty,Cultural Exchange Programs
phs5AK9hsZtA,Athletic Programs
6VJd2vD5bSSL,Research Collaboration & Networking
7Xi2YwfHhXBl,University-Sponsored Conferences
QDnqzdDRcqxr,Research Collaboration & Networking
KQjvAGn1fepl,Civic Engagement & Service Learning
pGm4qkttAW97,Endowment Fund Contributions
KmFAeqju7PRh,Public Health & Safety Programs
p4U4lYAXaaZg,Internal Communications
4BVUB7KohhjX,Internship Programs
bwQg1reNX55t,Student Leadership Development
vZrtPbqeyKob,Student Success Programs
hSOsUkn63RC9,Online Learning Platforms
G4pca3X6bfNm,Student Financial Aid
UUt89rfyHeSj,Student Recruitment & Retention
WOIl7IuO0Cq8,University Legal Counsel
HudkKcYMKHtD,Parking Facilities
FnBkqzYnrcpp,Diversity & Inclusion Programs
GawE6XoGtGF4,Pension Contributions
06xla3T7EXS2,Sports Facilities Maintenance
W8XvnInqjOG1,Human Resources Services
qCHf1NEOH1EM,Board of Trustees Expenses
w0vohV98WZqT,Research Equipment
aA7ImruBwjjn,Student Tutoring Services
vecRLUtdMVwH,Campus Environmental Health & Safety
ai0gzeDBy9Te,Emergency Medical Services
wsgUiAbvjGnL,International Partnerships
H9SShwLP3QxE,Instructional Technology
rnYuwiI4Rwwv,Athletic Programs
PLxknaPqj55D,Faculty-Student Research Initiatives
1Hf7E7jru6KW,Student Research Funding
rp0RXGyy1mMf,Technology Infrastructure Upgrades
CWoi8pS8idlx,University Merchandise
s2C1STasNUHn,Visitor Accommodations
TAV6fZogLrVx,Student Data Privacy & Security
GEnBLNocIi9g,Departmental Budgets
43onSaSTUdHJ,"Security Technology (Cameras, Alarms)"
rEJAdQxX9tlV,International Student Services
Pi9qRZGCt7bg,University Audit & Tax Services
pH1dFv8L5Ycx,Student Testing & Exams
tfGJvC1XqZey,Non-Academic Student Support
303Ljeg8ShRo,Data Analytics for Administration
dQWQeA1E8yxK,Maintenance of Research Facilities
VAN4gockvRVr,Employee Benefits
7GgUDAowVgMW,Student Enrollment Systems
Lj6A3XMB3O1k,Environmental Sustainability Programs
zt7PCoMQCRhS,Sustainability Education Programs
kC59KCN7hurk,Capital Campaign Fundraising
R6ngHDe8Hrf8,Visitor Accommodations
bfw9E7qNsnhs,University Health & Safety Compliance
yEGFoCM6iQEQ,Business Intelligence Tools
U9TRDdKXcvnC,IT Support & Help Desk
9WEYhUccWd9X,Alumni Relations
BJrJ3ZCSWAMR,Curriculum Development
jYqRE75I6dfU,Faculty-Student Research Initiatives
2WHqQzov3uF3,Student Recreational Programs
pJTtDZuFtqt3,Academic Support for Underrepresented Groups
SHQHsbLxj1iV,Library Digitization & Archives
dJgzcHgzDt4a,Sustainability Research Projects
zyFSWTfiKXom,Technology Infrastructure Upgrades
Lb9s986X3Th5,University System Development
oRhHldKbPsCR,Internal Communications
xS20WVWkF9Ze,Software Licenses
PHswJYf0TFcP,International Research Collaborations
65OFWVpW4bld,Emergency Preparedness & Response
TbS3ynv6jtIP,Admissions Marketing & Recruitment
2TlDJQP4ZM7T,Campus Accessibility Improvements
goKl36tkkbCl,Academic Mentorship Programs
QLSjacN5RFhD,Cultural Programs
6TY0A0YfCTI1,Digital Literacy Programs
GU8dPqDxpTVG,Campus Tours & Information Sessions
iWKwjjwQEBRb,Cultural Programs
VXyKpQLTc2D5,University Research Ethics Compliance
EhNjqywEYTeN,Administrative Supplies
QiF3AqhEBmHb,Online Learning Platforms
mVv3c2hqPKnX,University Audit & Tax Services
FIvIZKSNnJGy,IT Infrastructure
CYXATQytV2RC,Emergency Preparedness & Response
Ylk13oDEmBHC,Campus Safety Improvements
dNDdxwcedEOT,Cultural Programs
oZWzc3JkAtaR,Graduate Fellowships
TeDzmHJJZ3Ac,Insurance & Risk Management
1VBARO7RflXb,Press & Media Relations
UQ3QPdulvEy1,Human Resources Services
NICwjf3V5B0Q,Student Travel Grants
Hh4OuGfyScVl,Tuition Fees
6WrXZe6090zW,Faculty Recruitment Costs
KAagCl9fk2li,Emergency Medical Services
RbS1Kay4dU2I,Mental Health Awareness Campaigns
fO3wbp5Zbrjp,Building Maintenance
DNFQYERf30m4,Community Outreach Programs
Gh7xBCCQZpHK,Student Recruitment & Retention
0pMIDLr9gC9f,Campus Printing Services
